图书名字,图书作者,图书出版社,图书评价数,图书推荐指数,图书原价,图书折后价,图书折扣,图书电子书价格,图书出版时间,图书地址,图书图片地址
刑法学讲义（罗翔普法故事会，拆穿生活的套路，看透舆论的陷阱，,罗翔，果麦文化 出品,罗翔,69771条评论,,¥46.90,¥68.00,6.9折,¥16.99,2020-07-01,http://product.dangdang.com/28993447.html,http://img3m7.ddimg.cn/10/25/28993447-1_l_39.jpg
慢一点也没关系（内卷时代的避坑指南）,"[比利时]吕克·斯维宁 著,常江涵 许楚琪 译,酷威文化 出品",比利时,7871条评论,,¥17.90,¥39.80,4.5折,¥9.98,2021-10-01,http://product.dangdang.com/29302716.html,http://img3m6.ddimg.cn/3/11/29302716-1_l_14.jpg
置身事内：中国政府与经济发展（罗永浩、刘格菘、张军、周黎安、,兰小欢 著,兰小欢,13614条评论,,¥32.50,¥65.00,5.0折,¥17.50,2021-08-01,http://product.dangdang.com/29281158.html,http://img3m8.ddimg.cn/27/24/29281158-1_l_21.jpg
美好的旅行 全球 中国最美的100个地方 图说天下 国家地理 套装共,《图书天下·国家地理系列》编委会,图书天下·国家地理,36610条评论,,¥29.50,¥39.80,7.4折,,2017-11-01,http://product.dangdang.com/25168107.html,http://img3m7.ddimg.cn/30/4/25168107-1_l_3.jpg
李诞脱口秀工作手册（李诞分享创作经验！创意是智力活儿，也是体,李诞；读客文化 出品,李诞,17835条评论,,¥21.00,¥42.00,5.0折,,2021-08-01,http://product.dangdang.com/29288001.html,http://img3m1.ddimg.cn/39/22/29288001-1_l_10.jpg
沈从文旅行慢慢，走走又停停,沈从文,沈从文,6665条评论,,¥22.80,¥49.80,4.6折,¥14.94,2019-05-01,http://product.dangdang.com/27854006.html,http://img3m6.ddimg.cn/59/36/27854006-1_l_5.jpg
余秋雨 文化苦旅,余秋雨 著 时代华语 出品,余秋雨,474841条评论,,¥19.00,¥38.00,5.0折,,2014-03-01,http://product.dangdang.com/23415029.html,http://img3m9.ddimg.cn/44/23/23415029-1_l_22.jpg
从你的全世界路过：修订本（张嘉佳亲笔签名版与普通版本随机发送,"张嘉佳 著,博集天卷 出品",张嘉佳,1108315条评论,,¥22.50,¥45.00,5.0折,¥8.99,2019-07-01,http://product.dangdang.com/27889594.html,http://img3m4.ddimg.cn/7/30/27889594-1_l_11.jpg
"有本事（冯唐全新力作,一个人有本事才是靠得住的财富。）",冯唐,冯唐,19873条评论,,¥58.00,¥58.00,10.0折,¥34.00,2021-07-01,http://product.dangdang.com/29256771.html,http://img3m1.ddimg.cn/93/20/29256771-1_l_12.jpg
岛上书店（李现推荐，每个人的生命中，都有无比艰难的那一年，将,(美)加·泽文 著；读客文化 出品,加·泽文,1294887条评论,,¥17.50,¥35.00,5.0折,¥9.99,2015-05-08,http://product.dangdang.com/23685329.html,http://img3m9.ddimg.cn/74/1/23685329-1_l_45.jpg
古汉语常用字字典(第5版)新版商务印书馆 王力古汉语字典词典文言,原编者  王力 岑麒祥 林焘 等，修订者  蒋绍愚 唐作藩 张万起 等,王力,419737条评论,,¥34.00,¥39.90,8.5折,,2016-04-01,http://product.dangdang.com/24008779.html,http://img3m9.ddimg.cn/91/34/24008779-1_l_37.jpg
放学后（东野圭吾成名作）,〔日〕东野圭吾 著，新经典 出品,东野圭吾,315572条评论,,¥22.50,¥45.00,5.0折,¥18.99,2017-09-01,http://product.dangdang.com/25154615.html,http://img3m5.ddimg.cn/2/17/25154615-1_l_7.jpg
小巴掌童话注音版8册百篇张秋生著 小学生课外读本,张秋生,张秋生,237386条评论,,¥38.70,¥110.40,3.5折,,2018-04-18,http://product.dangdang.com/25309478.html,http://img3m8.ddimg.cn/29/35/25309478-1_l_7.jpg
可怕的两岁+思维导图版育儿笔记（套装2册）,[美]约翰·罗斯蒙德◎著 张凯飞 侯卫蔚◎译,约翰·罗斯蒙德◎,87036条评论,,¥56.50,¥59.00,9.6折,,2020-07-01,http://product.dangdang.com/28554252.html,http://img3m2.ddimg.cn/78/20/28554252-1_l_21.jpg
夜莺与玫瑰,(英) 王尔德著 ; 林徽因译著  知书达礼 出品,王尔德,24812条评论,,¥31.70,¥46.00,6.9折,¥18.00,2018-06-01,http://product.dangdang.com/25306009.html,http://img3m9.ddimg.cn/25/7/25306009-1_l_7.jpg
幼儿学古诗（绘本版，全2册）,中国教育科学研究院学前教育研究中心,中国教育科学研究院学前教育研究中心,168868条评论,,¥49.00,¥98.00,5.0折,,2019-08-08,http://product.dangdang.com/27941877.html,http://img3m7.ddimg.cn/18/32/27941877-1_l_5.jpg
老人与海（精装版，收录《老人与海》《乞力马扎罗的雪》等）,(美)海明威著；张炽恒译,海明威,31481条评论,,¥17.40,¥37.00,4.7折,,2019-07-01,http://product.dangdang.com/27891166.html,http://img3m6.ddimg.cn/94/11/27891166-1_l_9.jpg
真希望我父母读过这本书,菲莉帕·佩里（Philippa Perry）,菲莉帕·佩里,44234条评论,,¥36.00,¥48.00,7.5折,¥12.99,2020-08-10,http://product.dangdang.com/28997946.html,http://img3m6.ddimg.cn/54/10/28997946-1_l_13.jpg
安娜·卡列尼娜（全二册，精装大开本，托尔斯泰三部曲之一，草婴,〔俄〕列夫·托尔斯泰 著   草婴 译,列夫·托尔斯泰,7634条评论,,¥64.90,¥138.00,4.7折,,2019-10-15,http://product.dangdang.com/28473428.html,http://img3m8.ddimg.cn/38/4/28473428-1_l_14.jpg
果麦经典：了凡四训（“我命由我不由天！”曾国藩、胡适、稻盛和,袁了凡 著，译者 费勇，果麦文化 出品,袁了凡,105621条评论,,¥16.00,¥32.00,5.0折,,2017-09-01,http://product.dangdang.com/25157989.html,http://img3m9.ddimg.cn/10/24/25157989-1_l_7.jpg
小时候：丰子恺写给孩子的散文 （小时候真傻，居然盼着长大。当当,丰子恺,丰子恺,1129条评论,,¥17.90,¥39.80,4.5折,,2021-10-01,http://product.dangdang.com/29295935.html,http://img3m5.ddimg.cn/53/1/29295935-1_l_12.jpg
见识城邦·人类简史：从动物到上帝（新版）,[以色列] 尤瓦尔·赫拉利（Yuval Noah Harari）,尤瓦尔·赫拉利,698037条评论,,¥51.00,¥68.00,7.5折,¥16.99,2017-01-01,http://product.dangdang.com/24186019.html,http://img3m9.ddimg.cn/22/7/24186019-1_l_10.jpg
拉鲁斯儿童心理小百科（精装大开本，四色图文，6-14岁孩子可以自,【法】卡琳·西蒙妮著，阳光博客 出品,卡琳·西蒙妮,7337条评论,,¥83.00,¥88.00,9.4折,,2021-08-01,http://product.dangdang.com/29282750.html,http://img3m0.ddimg.cn/35/25/29282750-1_l_19.jpg
屁屁侦探思维进阶版 第一辑（精装4册）,(日) Troll 文/图，彭懿 译,Troll,27197条评论,,¥77.00,¥140.00,5.5折,,2021-03-01,http://product.dangdang.com/29217984.html,http://img3m4.ddimg.cn/15/9/29217984-1_l_7.jpg
养育男孩（典藏版）,(澳) 史蒂夫·比达尔夫,史蒂夫·比达尔夫,555049条评论,,¥38.20,¥39.80,9.6折,¥11.99,2019-09-10,http://product.dangdang.com/27922796.html,http://img3m6.ddimg.cn/44/6/27922796-1_l_7.jpg
郑渊洁四大名传：皮皮鲁传,郑渊洁,郑渊洁,393328条评论,,¥14.50,¥29.00,5.0折,,2015-12-01,http://product.dangdang.com/29212906.html,http://img3m6.ddimg.cn/85/0/29212906-1_l_1.jpg
财务自由之路（全三册）当当专享版 赠送精美书签,（德）博多·舍费尔,博多·舍费尔,65732条评论,,¥64.20,¥135.00,4.8折,¥31.99,2019-02-20,http://product.dangdang.com/26511903.html,http://img3m3.ddimg.cn/0/34/26511903-1_l_11.jpg
我不敢说，我怕被骂——邓超微博推荐的绘本 带给孩子更多勇气和自,文：〔荷兰〕皮姆?范?赫斯特  图：〔荷兰〕妮可?塔斯马,皮姆,508657条评论,,¥19.90,¥39.80,5.0折,,2019-11-01,http://product.dangdang.com/27942695.html,http://img3m5.ddimg.cn/44/36/27942695-1_l_20.jpg
股市趋势技术分析（原书第10版）,[美]　罗伯特D.爱德华兹， 约翰·迈吉，W. H. C.巴塞蒂,罗伯特D.爱德华兹,64047条评论,,¥84.00,¥168.00,5.0折,¥84.00,2017-11-20,http://product.dangdang.com/25178851.html,http://img3m1.ddimg.cn/82/18/25178851-1_l_5.jpg
