名次,电影名称,票房,总场次,人次,票价(元)
45,头号玩家,http://img.58921.com/sites/all/movie/files/protec/c3205f85d12acc4ebb8e5aed4f775397.png,54.54万,1688.45万,36.7
46,狂暴巨兽,http://img.58921.com/sites/all/movie/files/protec/7a66239e02691126501d7a4d122495b3.png,57.54万,1727.4万,35.7
47,芳华,http://img.58921.com/sites/all/movie/files/protec/79483c734bc62b0385efa63ed583cf7a.png,47.47万,1661.72万,35.3
48,建军大业,http://img.58921.com/sites/all/movie/files/protec/79483c734bc62b0385efa63ed583cf7a.png,39.41万,1758.06万,33.3
49,绣春刀：修罗战场,http://img.58921.com/sites/all/movie/files/protec/636687ce92e0306f94a8c02cb7f3441f.png,41.17万,1834.48万,31.3
50,奇幻森林,http://img.58921.com/sites/all/movie/files/protec/3831fe4bd44e9793280ff34201c5cac2.png,42.19万,1261.79万,45.2
51,惊奇队长,http://img.58921.com/sites/all/movie/files/protec/50119308ebc826887bede376262f73cf.png,64.56万,1405.86万,39.9
52,蚁人,http://img.58921.com/sites/all/movie/files/protec/dc008ab60246dce973efaba878c01200.png,33.34万,1164.01万,47.6
53,湄公河行动,http://img.58921.com/sites/all/movie/files/protec/c905d543323fed646397930e02919bb1.png,51.85万,1503.88万,36.8
54,三生三世十里桃花,http://img.58921.com/sites/all/movie/files/protec/c905d543323fed646397930e02919bb1.png,30.09万,1529.15万,36.1
55,无双,http://img.58921.com/sites/all/movie/files/protec/713378d7df618ed0116b1a6bca1f3992.png,57.85万,1517.46万,36.4
56,寻梦环游记,http://img.58921.com/sites/all/movie/files/protec/713378d7df618ed0116b1a6bca1f3992.png,49.94万,1557.44万,35.4
57,碟中谍5：神秘国度,http://img.58921.com/sites/all/movie/files/protec/c40db267ff508a38472c5477ca74200d.png,38.55万,1265.4万,42.3
58,功夫熊猫3,http://img.58921.com/sites/all/movie/files/protec/e61dc4f77a177dd8c85b4849e839e3fa.png,44.94万,1170.99万,45.6
59,煎饼侠,http://img.58921.com/sites/all/movie/files/protec/899e59418144b024937d10db48899bde.png,28.17万,1348.46万,39.5
60,西游记之大圣归来,http://img.58921.com/sites/all/movie/files/protec/899e59418144b024937d10db48899bde.png,28.98万,1196.66万,44.4
61,唐人街探案,http://img.58921.com/sites/all/movie/files/protec/abff6ae5b8fee4eb11559d1555e90b58.png,30.18万,1343.77万,38.7
62,变形金刚4：绝迹重生,http://img.58921.com/sites/all/movie/files/protec/f7c3250212f246ad006e21389615dd58.png,13.69万,893.29万,56.9
63,盗墓笔记,http://img.58921.com/sites/all/movie/files/protec/6a36649ba38b0a857b12c2b8a747d8ae.png,34.15万,1135.76万,44.5
64,叶问.,http://img.58921.com/sites/all/movie/files/protec/aa9c71de95381e066f22dc337cdb2b9a.png,31.09万,1098.66万,45.8
65,功夫瑜伽,http://img.58921.com/sites/all/movie/files/protec/aa9c71de95381e066f22dc337cdb2b9a.png,36.37万,1274.08万,39.5
66,猩球崛起：终极之战,http://img.58921.com/sites/all/movie/files/protec/adf69f210416d71209b18189fca3f575.png,42.43万,1380.45万,35.9
67,烈火英雄,http://img.58921.com/sites/all/movie/files/protec/b52bd723ba297ab0c89bfb4a910a0ca0.png,61.64万,1315.69万,37.6
68,阿丽塔：战斗天使,http://img.58921.com/sites/all/movie/files/protec/48ce6c1ffa179964a70b00f95f835622.png,51.32万,1230.39万,39.8
69,异形：契约,http://img.58921.com/sites/all/movie/files/protec/284255166eef30ac9b8bbc0e0118d403.png,39.61万,1534.75万,31.8
70,火星救援,http://img.58921.com/sites/all/movie/files/protec/cdaa13d86cd5679e7a697c3fc0ba7aaf.png,29.27万,976.31万,49
71,绝地逃亡,http://img.58921.com/sites/all/movie/files/protec/cdaa13d86cd5679e7a697c3fc0ba7aaf.png,34.9万,1090.05万,43.8
72,速度与激情：特别行动,http://img.58921.com/sites/all/movie/files/protec/122672c355897c1cf11385f6c462a9eb.png,60.85万,1183.32万,40.1
73,超时空同居,http://img.58921.com/sites/all/movie/files/protec/8e874607a54bd2bf72a29a94690e1e33.png,57.41万,1411.65万,33.5
74,蜘蛛侠：英雄远征,http://img.58921.com/sites/all/movie/files/protec/bea907f6d588e8e4a6dbd799c89cf397.png,65.33万,1237.02万,38.1
75,少年的你,http://img.58921.com/sites/all/movie/files/protec/3f1343428ba0c68c9126d2e40d90fb45.png,55.75万,1205.16万,38.9
76,蜘蛛侠：英雄归来,http://img.58921.com/sites/all/movie/files/protec/2b715d74dbf984725c56013e48f17aff.png,41.37万,1300.67万,35.7
77,京城81号2,http://img.58921.com/sites/all/movie/files/protec/bec97439f2a0a3638afaa5f453f51881.png,30.93万,1285.37万,35.8
78,比悲伤更悲伤的故事,http://img.58921.com/sites/all/movie/files/protec/605f0da84bc3272162293d51e7d96745.png,58.33万,1418.47万,32.3
79,反贪风暴4,http://img.58921.com/sites/all/movie/files/protec/3f6fc78637d2fc187be4398f74d25a89.png,55.82万,1257.29万,36.2
80,一出好戏,http://img.58921.com/sites/all/movie/files/protec/1af82c35ec700d674b3babc3121a9352.png,36.91万,1232.08万,36
81,鬼吹灯之九层妖塔,http://img.58921.com/sites/all/movie/files/protec/4b44d1fafcb5daad61701029233bc45a.png,22.51万,974.04万,45.1
82,终结者：创世纪,http://img.58921.com/sites/all/movie/files/protec/c02d3ff4e18524456b02d190080c49c2.png,28.32万,923.67万,47.5
83,X战警：天启,http://img.58921.com/sites/all/movie/files/protec/752350edccdf9cc8f3414d17beeb62d0.png,35.31万,967.06万,45
84,蝙蝠侠大战超人：正义黎明,http://img.58921.com/sites/all/movie/files/protec/2bcc9cac0b62589952a9b8c61e5398df.png,27.51万,913.19万,46.7
85,蚁人2：黄蜂女现身,http://img.58921.com/sites/all/movie/files/protec/ef66de007274371bcc8ee599c36e6e57.png,40.36万,1096.15万,37.9
86,恶棍天使,http://img.58921.com/sites/all/movie/files/protec/d6213f0302a29d73ea6c8e53e9984182.png,19万,1077.1万,38.4
87,扫毒2天地对决,http://img.58921.com/sites/all/movie/files/protec/b933048036114a434e4c460207786edd.png,59.54万,1078.29万,37.7
