名次,电影名称,票房,总场次,人次,票价(元)
196,老师·好,http://img.58921.com/sites/all/movie/files/protec/b9e838e7c7c6592c3f9d6b5c2a406882.png,29.44万,571.62万,35.6
197,X战警：逆转未来,http://img.58921.com/sites/all/movie/files/protec/9f51f791824afcee27ad8816c2a9f22b.png,9.31万,382.1万,53.2
198,情圣,http://img.58921.com/sites/all/movie/files/protec/3ff98ecdb2f6e250b9a4da6a7e22492a.png,31.36万,584.18万,33.7
199,极盗者,http://img.58921.com/sites/all/movie/files/protec/3ff98ecdb2f6e250b9a4da6a7e22492a.png,17.17万,440.34万,44.7
200,奇门遁甲,http://img.58921.com/sites/all/movie/files/protec/161bb2a2d83a5cb7eb74e044de6f4047.png,16.77万,550.92万,35.5
201,忍者神龟2,http://img.58921.com/sites/all/movie/files/protec/6aa64f2ec0cdc0f5812b8d4ac6116451.png,16.4万,431.97万,45
202,天才枪手,http://img.58921.com/sites/all/movie/files/protec/6aa64f2ec0cdc0f5812b8d4ac6116451.png,20.64万,611.14万,31.8
203,大话西游3,http://img.58921.com/sites/all/movie/files/protec/6aa64f2ec0cdc0f5812b8d4ac6116451.png,18.87万,462.98万,41.8
204,匆匆那年,http://img.58921.com/sites/all/movie/files/protec/88ae433a1fdd970222cb47a2139d052a.png,11.86万,474.21万,40.8
205,熊出没之熊心归来,http://img.58921.com/sites/all/movie/files/protec/88ae433a1fdd970222cb47a2139d052a.png,17.05万,471.84万,41
206,后会无期,http://img.58921.com/sites/all/movie/files/protec/88ae433a1fdd970222cb47a2139d052a.png,9.24万,469.15万,41.1
207,人再囧途之泰囧,http://img.58921.com/sites/all/movie/files/protec/28528b6f1dfbb0f0530030455d84773d.png,8.14万,479.67万,40
208,酒国英雄之摆渡人,http://img.58921.com/sites/all/movie/files/protec/36db3c65f2f3da87cd2e5412be21fca5.png,22.78万,514.17万,37.1
209,奔跑吧，兄弟,http://img.58921.com/sites/all/movie/files/protec/8e93ef84de74873f8cb4a05f53f9f1e1.png,13.43万,497.68万,38.2
210,何以笙箫默,http://img.58921.com/sites/all/movie/files/protec/8e93ef84de74873f8cb4a05f53f9f1e1.png,15.91万,495.52万,38.3
211,道士下山,http://img.58921.com/sites/all/movie/files/protec/e9ea1465a0d61aaa8bccfbdfedf5b4c1.png,12.46万,385.1万,49
212,血战钢锯岭,http://img.58921.com/sites/all/movie/files/protec/c32d2d72b6c082fc9dbbc61f0a9b8eb9.png,26.98万,539.34万,34.7
213,厉害了，我的国,http://img.58921.com/sites/all/movie/files/protec/eb56a2cddab74b9576c805dc3b5877ec.png,10.21万,506.45万,36.6
214,黄金兄弟,http://img.58921.com/sites/all/movie/files/protec/eb56a2cddab74b9576c805dc3b5877ec.png,20.3万,516.64万,35.8
215,致青春：原来你还在这里,http://img.58921.com/sites/all/movie/files/protec/be57869600b70d125d8c19eb412daf56.png,15.46万,501.39万,36.8
216,神奇动物：格林德沃之罪,http://img.58921.com/sites/all/movie/files/protec/5d931109bfd2d246112c7bc0c822da52.png,20.53万,467.14万,38.8
217,超人总动员2,http://img.58921.com/sites/all/movie/files/protec/c8048a6fcf749f9d94620c4c9a739564.png,21.92万,497.38万,35.6
218,澳门风云3,http://img.58921.com/sites/all/movie/files/protec/c8048a6fcf749f9d94620c4c9a739564.png,31.01万,418.91万,42.2
219,快把我哥带走,http://img.58921.com/sites/all/movie/files/protec/c128b803b4ec5e16fe41276e20e19ea4.png,22.02万,521.47万,33.8
220,博物馆奇妙夜3,http://img.58921.com/sites/all/movie/files/protec/6b7c58f889cb543a314a772c36add629.png,13.07万,418.82万,41.8
221,我不是潘金莲,http://img.58921.com/sites/all/movie/files/protec/6b7c58f889cb543a314a772c36add629.png,23.94万,486.8万,36
222,悲伤逆流成河,http://img.58921.com/sites/all/movie/files/protec/40e62dac0317830d9eeed6e53fc868c1.png,23万,505.88万,34.3
223,火锅英雄,http://img.58921.com/sites/all/movie/files/protec/e25c5d20d4ff31cc5394ec79ab927b23.png,21.91万,442.79万,38.8
224,烈日灼心,http://img.58921.com/sites/all/movie/files/protec/e25c5d20d4ff31cc5394ec79ab927b23.png,16.36万,440.91万,38.9
225,千与千寻,http://img.58921.com/sites/all/movie/files/protec/2cd0c6f17ea1a19f2e946f384ddb2391.png,35.43万,493.22万,34.5
226,超凡蜘蛛侠2,http://img.58921.com/sites/all/movie/files/protec/e0d07633d82c70e8c0f07860290f3a35.png,9.02万,313.32万,54.1
227,神战：权力之眼,http://img.58921.com/sites/all/movie/files/protec/e0d07633d82c70e8c0f07860290f3a35.png,15.09万,381.73万,44.2
228,星球大战：侠盗一号,http://img.58921.com/sites/all/movie/files/protec/e691b1eda91b29a13605286201504817.png,23.31万,412.19万,40.6
229,机器之血,http://img.58921.com/sites/all/movie/files/protec/e691b1eda91b29a13605286201504817.png,13.42万,470.05万,35.5
230,移动迷宫：烧痕审判,http://img.58921.com/sites/all/movie/files/protec/3ff04535490144bf70ac6029f88e178c.png,14.37万,362.07万,45.9
231,忍者神龟：变种时代,http://img.58921.com/sites/all/movie/files/protec/3ff04535490144bf70ac6029f88e178c.png,10.19万,346.2万,47.9
232,前任攻略2：备胎反击战,http://img.58921.com/sites/all/movie/files/protec/3ff04535490144bf70ac6029f88e178c.png,16.44万,445.39万,37.2
233,封神传奇,http://img.58921.com/sites/all/movie/files/protec/a0e634f54d5c49032a2641b674ebcee7.png,15.16万,376.11万,43.7
234,熊出没之奇幻空间,http://img.58921.com/sites/all/movie/files/protec/e7337c01d057bb24dde4a6ae02fb7d5e.png,15.04万,452.16万,36.1
235,移动迷宫3：死亡解药,http://img.58921.com/sites/all/movie/files/protec/0c0a97d8aa958415cf9ab641f56d30d0.png,16.09万,451.51万,36
236,木星上行,http://img.58921.com/sites/all/movie/files/protec/0c0a97d8aa958415cf9ab641f56d30d0.png,9.87万,335万,48.4
237,妖铃铃,http://img.58921.com/sites/all/movie/files/protec/0c0a97d8aa958415cf9ab641f56d30d0.png,12.9万,452.61万,35.7
238,重返20岁,http://img.58921.com/sites/all/movie/files/protec/b55b74a4be354351322ac4bf1affaa7b.png,13.18万,405.56万,39.7
239,星球大战8：最后的绝地武士,http://img.58921.com/sites/all/movie/files/protec/b55b74a4be354351322ac4bf1affaa7b.png,12.72万,416.1万,38.7
240,横冲直撞好莱坞,http://img.58921.com/sites/all/movie/files/protec/91ec5644ed9593b086c2fd957f0a729c.png,14.05万,380.93万,41.9
241,我的特工爷爷,http://img.58921.com/sites/all/movie/files/protec/5c70b11b9661b9a2d86846f170b27351.png,18.95万,415.43万,38.3
242,西游降魔篇,http://img.58921.com/sites/all/movie/files/protec/8a711ff436590cad79e572461d04a46a.png,6.66万,309.75万,50.6
243,铁血战士,http://img.58921.com/sites/all/movie/files/protec/c7057362d3a625c4e7d1c0ce3c2a37bc.png,18.36万,422.45万,36.8
244,南极之恋,http://img.58921.com/sites/all/movie/files/protec/cff4ca4f5ca0b1f4b2923c406aa58574.png,17.33万,463.13万,33.3
245,哥斯拉,http://img.58921.com/sites/all/movie/files/protec/cff4ca4f5ca0b1f4b2923c406aa58574.png,7.72万,290.84万,52.9
246,调音师,http://img.58921.com/sites/all/movie/files/protec/cff4ca4f5ca0b1f4b2923c406aa58574.png,26.26万,459.75万,33.5
247,终结者：黑暗命运,http://img.58921.com/sites/all/movie/files/protec/d80dce8eb222aa0c0574741dc3f77873.png,20.52万,395.95万,38.7
248,嫌疑人X的献身,http://img.58921.com/sites/all/movie/files/protec/d80dce8eb222aa0c0574741dc3f77873.png,23.18万,431.64万,35.4
249,驯龙高手2,http://img.58921.com/sites/all/movie/files/protec/d80dce8eb222aa0c0574741dc3f77873.png,7.75万,300.57万,50.8
250,最好的我们,http://img.58921.com/sites/all/movie/files/protec/8bf7be7f2bda2edf83481e0b89868e11.png,38.02万,440.09万,34.4
251,神探夏洛克,http://img.58921.com/sites/all/movie/files/protec/8bf7be7f2bda2edf83481e0b89868e11.png,12.65万,393.81万,38.5
252,寂静之地,http://img.58921.com/sites/all/movie/files/protec/ed984712b5d30768a0cfb9f91019379e.png,27.07万,480.34万,31.4
253,海底总动员2：多莉去哪儿,http://img.58921.com/sites/all/movie/files/protec/9d5bc51b5e93369798e6a4b4dddf9ba7.png,18.1万,353.04万,42.6
254,空天猎,http://img.58921.com/sites/all/movie/files/protec/9d5bc51b5e93369798e6a4b4dddf9ba7.png,13.86万,456.67万,32.9
255,蜘蛛侠：平行宇宙,http://img.58921.com/sites/all/movie/files/protec/58b835d9d3ecaf0539883e5e6f54ead4.png,19.33万,394.63万,37.8
256,X战警：黑凤凰,http://img.58921.com/sites/all/movie/files/protec/2a963026bda119afe427a269568ea5d1.png,29.49万,376.75万,39.2
257,私人订制,http://img.58921.com/sites/all/movie/files/protec/2a963026bda119afe427a269568ea5d1.png,6.35万,328.89万,44.9
258,找到你,http://img.58921.com/sites/all/movie/files/protec/c8a8168059362ec07dc523988a1b6b72.png,23.5万,450.86万,32.7
259,帕丁顿熊2,http://img.58921.com/sites/all/movie/files/protec/98080c5616cefd457d79be71d630d7f2.png,14.92万,475.3万,30.8
260,记忆大师,http://img.58921.com/sites/all/movie/files/protec/c7284c625419782175b44387ad9c68df.png,17.87万,392.72万,36.8
261,饥饿游戏3：嘲笑鸟（上）,http://img.58921.com/sites/all/movie/files/protec/57490c7804b90246497bee53178eb3b9.png,9.33万,288.82万,49.8
262,心理罪,http://img.58921.com/sites/all/movie/files/protec/8286f34d77ad2cc31b49d5154c78238c.png,13.5万,426.19万,33.7
263,敢死队3,http://img.58921.com/sites/all/movie/files/protec/8286f34d77ad2cc31b49d5154c78238c.png,9.01万,348.8万,41.1
264,西游记之大闹天宫,http://img.58921.com/sites/all/movie/files/protec/8286f34d77ad2cc31b49d5154c78238c.png,6.32万,263.7万,54.4
265,二代妖精之今生有幸,http://img.58921.com/sites/all/movie/files/protec/8286f34d77ad2cc31b49d5154c78238c.png,11.79万,393.71万,36.4
266,解救吾先生,http://img.58921.com/sites/all/movie/files/protec/8286f34d77ad2cc31b49d5154c78238c.png,11.47万,367.43万,39
267,分手大师,http://img.58921.com/sites/all/movie/files/protec/6ffb6697e0ceb605d54b46b3a72b1265.png,7.05万,335.02万,42.3
268,钟馗伏魔：雪妖魔灵,http://img.58921.com/sites/all/movie/files/protec/890acc0195615ff90939bd231214f557.png,6.62万,290.39万,48.6
269,闪光少女,http://img.58921.com/sites/all/movie/files/protec/890acc0195615ff90939bd231214f557.png,12.54万,434.8万,32.4
270,哆啦A梦：大雄的金银岛,http://img.58921.com/sites/all/movie/files/protec/890acc0195615ff90939bd231214f557.png,16.69万,455.31万,30.9
271,我是证人,http://img.58921.com/sites/all/movie/files/protec/a2670c2018a6991521ee639049df6d28.png,14.61万,366.43万,38.1
272,泰坦尼克号3D版,http://img.58921.com/sites/all/movie/files/protec/a2670c2018a6991521ee639049df6d28.png,3.7万,242.18万,57.6
273,起跑线,http://img.58921.com/sites/all/movie/files/protec/4eb056758a14fdf0843646be73a1a61d.png,17.44万,445.36万,31.3
274,咱们结婚吧,http://img.58921.com/sites/all/movie/files/protec/4eb056758a14fdf0843646be73a1a61d.png,11.42万,356.74万,38.8
275,钢铁侠3,http://img.58921.com/sites/all/movie/files/protec/506990926690161470aad431f3296113.png,5.53万,252.52万,54.7
276,亚瑟王：斗兽争霸,http://img.58921.com/sites/all/movie/files/protec/506990926690161470aad431f3296113.png,9.45万,393.12万,35.1
277,东方快车谋杀案,http://img.58921.com/sites/all/movie/files/protec/506990926690161470aad431f3296113.png,14.35万,435.19万,31.6
278,王牌逗王牌,http://img.58921.com/sites/all/movie/files/protec/90e92142b1746927ed32a86b8eb6b12a.png,14.76万,378.36万,36.1
279,有一个地方只有我们知道,http://img.58921.com/sites/all/movie/files/protec/7dd8ccee44c8318d0a82027a6a9d9b12.png,9.13万,339.21万,40.2
280,小萝莉的猴神大叔,http://img.58921.com/sites/all/movie/files/protec/f5a6e28a145929b8459641a90aed63e3.png,15.4万,426.02万,31.6
281,微微一笑很倾城,http://img.58921.com/sites/all/movie/files/protec/f5a6e28a145929b8459641a90aed63e3.png,14.76万,351.69万,38.3
282,黑衣人：全球追缉,http://img.58921.com/sites/all/movie/files/protec/5426b80960e5ca43dc8b821f0c4d9c52.png,25.36万,331.7万,40.5
283,环太平洋,http://img.58921.com/sites/all/movie/files/protec/5426b80960e5ca43dc8b821f0c4d9c52.png,4.78万,246.3万,54.5
284,最后的巫师猎人,http://img.58921.com/sites/all/movie/files/protec/5426b80960e5ca43dc8b821f0c4d9c52.png,14.12万,359.34万,37.2
285,明日边缘,http://img.58921.com/sites/all/movie/files/protec/29b1de88f794d313c4af57fd9421fcb4.png,6.9万,251.41万,53
286,胖子行动队,http://img.58921.com/sites/all/movie/files/protec/26eb272f384d53b5ab9f0d55e64dc9dd.png,16万,366.88万,35.6
287,小时代3：刺金时代,http://img.58921.com/sites/all/movie/files/protec/26eb272f384d53b5ab9f0d55e64dc9dd.png,6.6万,318.72万,41
288,原谅他77次,http://img.58921.com/sites/all/movie/files/protec/ce618f2630fcab402e4c67aefd95829e.png,9.9万,424.68万,30.6
289,卧虎藏龙2：青冥宝剑,http://img.58921.com/sites/all/movie/files/protec/ce618f2630fcab402e4c67aefd95829e.png,15.76万,290.82万,44.6
290,阿拉丁,http://img.58921.com/sites/all/movie/files/protec/c30497dc9c2ee1ec477cd1b84fc1a6c0.png,25.55万,335.77万,38.5
291,太空旅客,http://img.58921.com/sites/all/movie/files/protec/c30497dc9c2ee1ec477cd1b84fc1a6c0.png,18.82万,337.74万,38.3
292,饥饿游戏3：嘲笑鸟（下）,http://img.58921.com/sites/all/movie/files/protec/c30497dc9c2ee1ec477cd1b84fc1a6c0.png,10.02万,280.64万,45.9
293,超体,http://img.58921.com/sites/all/movie/files/protec/41eaac315eddfde6ebf522a446d671ed.png,7.76万,259.36万,49.5
294,密室逃生,http://img.58921.com/sites/all/movie/files/protec/41eaac315eddfde6ebf522a446d671ed.png,20.09万,383.15万,33.4
295,小王子,http://img.58921.com/sites/all/movie/files/protec/ac1f262a1d6a065eb0a53110133edfc1.png,9.86万,291万,43.8
296,机械师2：复活,http://img.58921.com/sites/all/movie/files/protec/ac1f262a1d6a065eb0a53110133edfc1.png,25.72万,332.22万,38.2
297,喵星人,http://img.58921.com/sites/all/movie/files/protec/de39c8c70a93c6758a1a3d2ab272f077.png,10.74万,395.7万,31.8
298,超凡战队,http://img.58921.com/sites/all/movie/files/protec/c8728cbe6fdccae3eb237617d2a37346.png,8.01万,362.63万,34.5
299,十二生肖,http://img.58921.com/sites/all/movie/files/protec/c8728cbe6fdccae3eb237617d2a37346.png,5.19万,240.97万,51.7
300,百团大战,http://img.58921.com/sites/all/movie/files/protec/36887ee65dd952c89a53e2c05c4937c1.png,5.82万,332.76万,37.4
301,陆垚知马俐,http://img.58921.com/sites/all/movie/files/protec/36887ee65dd952c89a53e2c05c4937c1.png,12.4万,333.59万,37.2
302,喜欢你,http://img.58921.com/sites/all/movie/files/protec/36887ee65dd952c89a53e2c05c4937c1.png,15.08万,340.05万,36.3
303,王牌保镖,http://img.58921.com/sites/all/movie/files/protec/7b6df2f2eda889d92704f29827901e28.png,14.67万,407.09万,30.2
304,少年派的奇幻漂流,http://img.58921.com/sites/all/movie/files/protec/7b6df2f2eda889d92704f29827901e28.png,4.26万,228.22万,53.7
305,熊出没之雪岭熊风,http://img.58921.com/sites/all/movie/files/protec/7d06df8245e4d59169426c9dbd234581.png,8.66万,274.75万,44
306,心理罪之城市之光,http://img.58921.com/sites/all/movie/files/protec/7d06df8245e4d59169426c9dbd234581.png,10.84万,358.81万,33.6
307,侠盗联盟,http://img.58921.com/sites/all/movie/files/protec/b2274325952513db8882ce2d4de0d5dd.png,10.99万,378.7万,31.7
308,诛仙Ⅰ,http://img.58921.com/sites/all/movie/files/protec/b2274325952513db8882ce2d4de0d5dd.png,18.69万,306.47万,39.2
309,无敌破坏王,http://img.58921.com/sites/all/movie/files/protec/91c0bd96128b4ce1e130f9336e8d86a7.png,16.04万,321.54万,37.1
310,致我们终将逝去的青春,http://img.58921.com/sites/all/movie/files/protec/9410344420d4e42f17d587b6137c5cc3.png,5.76万,283.13万,41.8
311,极品飞车,http://img.58921.com/sites/all/movie/files/protec/9410344420d4e42f17d587b6137c5cc3.png,6.3万,226.71万,52
312,京城81号,http://img.58921.com/sites/all/movie/files/protec/b0856dbd583638f1814c41836ff948e7.png,5.22万,237.84万,49.2
313,追捕,http://img.58921.com/sites/all/movie/files/protec/b0856dbd583638f1814c41836ff948e7.png,10.41万,351.97万,33.2
314,亲爱的,http://img.58921.com/sites/all/movie/files/protec/a745e6e658924b55d5e6d315821e07a1.png,7.62万,278.08万,41.9
315,飓风营救3,http://img.58921.com/sites/all/movie/files/protec/a745e6e658924b55d5e6d315821e07a1.png,9.66万,242.7万,47.8
316,失孤,http://img.58921.com/sites/all/movie/files/protec/a745e6e658924b55d5e6d315821e07a1.png,11.36万,309.33万,37.4
317,白发魔女传之明月天国,http://img.58921.com/sites/all/movie/files/protec/c5798dc344da7987ecea3417817e1571.png,5.4万,232.47万,49.7
318,霍比特人：史矛革之战,http://img.58921.com/sites/all/movie/files/protec/c5798dc344da7987ecea3417817e1571.png,6.08万,207.35万,55.6
319,赏金猎人,http://img.58921.com/sites/all/movie/files/protec/c5798dc344da7987ecea3417817e1571.png,10.73万,280.2万,41.1
320,追龙Ⅱ,http://img.58921.com/sites/all/movie/files/protec/fffd8c70ff10efce7a06b157fc09e2e2.png,23.91万,297.02万,37.9
321,青禾男高,http://img.58921.com/sites/all/movie/files/protec/fffd8c70ff10efce7a06b157fc09e2e2.png,9.76万,376.73万,29.9
322,攻壳机动队,http://img.58921.com/sites/all/movie/files/protec/ad011dcac06887db15ec7173d315de36.png,16.25万,284.95万,39.2
323,赤道,http://img.58921.com/sites/all/movie/files/protec/ad011dcac06887db15ec7173d315de36.png,8.41万,238.4万,46.8
324,游侠索罗：星球大战外传,http://img.58921.com/sites/all/movie/files/protec/d387f07612c2d43186bc795868c32f29.png,11.18万,308.31万,36
325,怦然星动,http://img.58921.com/sites/all/movie/files/protec/6b728bee393f44a730163569bc5e015f.png,13万,295.48万,37.4
326,微爱之渐入佳境,http://img.58921.com/sites/all/movie/files/protec/6b728bee393f44a730163569bc5e015f.png,7.74万,271.73万,40.6
327,第七子：降魔之战,http://img.58921.com/sites/all/movie/files/protec/6b728bee393f44a730163569bc5e015f.png,7.65万,225.98万,48.8
328,冈仁波齐,http://img.58921.com/sites/all/movie/files/protec/6b728bee393f44a730163569bc5e015f.png,11.52万,325.75万,33.7
329,反贪风暴2,http://img.58921.com/sites/all/movie/files/protec/6b728bee393f44a730163569bc5e015f.png,14.74万,304.11万,36.1
330,精灵旅社3：疯狂假期,http://img.58921.com/sites/all/movie/files/protec/a0ecc7ac686448a2d4676a7e11e7b7c1.png,13.3万,305.93万,35.7
331,疯狂外星人,http://img.58921.com/sites/all/movie/files/protec/44af484a0f9888274baec259d168298a.png,7.87万,238.28万,45.5
332,狄仁杰之神都龙王,http://img.58921.com/sites/all/movie/files/protec/44af484a0f9888274baec259d168298a.png,4.77万,197.57万,54.9
333,看不见的客人,http://img.58921.com/sites/all/movie/files/protec/44af484a0f9888274baec259d168298a.png,14.7万,338.85万,31.9
334,地心引力,http://img.58921.com/sites/all/movie/files/protec/44af484a0f9888274baec259d168298a.png,4.83万,192.94万,56
335,何以为家,http://img.58921.com/sites/all/movie/files/protec/44af484a0f9888274baec259d168298a.png,31.94万,333.04万,32.4
336,蓝精灵：寻找神秘村,http://img.58921.com/sites/all/movie/files/protec/44af484a0f9888274baec259d168298a.png,13.93万,301.97万,35.7
337,明月几时有,http://img.58921.com/sites/all/movie/files/protec/d3389e02dffd10c3dd8906ae31f457a7.png,9.82万,327.03万,32.8
338,反转人生,http://img.58921.com/sites/all/movie/files/protec/f3635a4e265293ec31dced69d7760b81.png,11.73万,360.29万,29.4
339,荡寇风云,http://img.58921.com/sites/all/movie/files/protec/3c46b32aa75137d60efb12b9108439af.png,8.47万,323.67万,32.6
340,奇迹男孩,http://img.58921.com/sites/all/movie/files/protec/4a445eb8d889b9c069fdc5b48c46c84f.png,12.87万,332.27万,31.4
341,七月与安生,http://img.58921.com/sites/all/movie/files/protec/4a445eb8d889b9c069fdc5b48c46c84f.png,13.25万,281.41万,36.8
342,公牛历险记,http://img.58921.com/sites/all/movie/files/protec/16bf969db3e5932202038ae6afda345b.png,11.75万,302.52万,34.2
343,马达加斯加的企鹅,http://img.58921.com/sites/all/movie/files/protec/16bf969db3e5932202038ae6afda345b.png,6.1万,225.19万,45.9
344,北京遇上西雅图,http://img.58921.com/sites/all/movie/files/protec/16bf969db3e5932202038ae6afda345b.png,5.73万,239.4万,43.1
345,中国合伙人,http://img.58921.com/sites/all/movie/files/protec/16bf969db3e5932202038ae6afda345b.png,6.31万,243.21万,42.5
346,破风,http://img.58921.com/sites/all/movie/files/protec/16bf969db3e5932202038ae6afda345b.png,10.73万,259.9万,39.6
347,毒。诫,http://img.58921.com/sites/all/movie/files/protec/16bf969db3e5932202038ae6afda345b.png,8.45万,317.3万,32.4
348,新娘大作战,http://img.58921.com/sites/all/movie/files/protec/ee86a270214cab497796e25fb85768d9.png,7.65万,241.09万,42.3
349,麻烦家族,http://img.58921.com/sites/all/movie/files/protec/ee86a270214cab497796e25fb85768d9.png,8.43万,309.95万,32.8
350,海洋奇缘,http://img.58921.com/sites/all/movie/files/protec/8193ea019873ae711410da0ff84baabd.png,13.79万,272.68万,37
351,爸爸去哪儿,http://img.58921.com/sites/all/movie/files/protec/3e38cdb2748aba058b0000f708019447.png,5.45万,244.86万,40.8
352,阿唐奇遇,http://img.58921.com/sites/all/movie/files/protec/2cd2ef27f29e79ee7629a228017b4714.png,8.35万,312.71万,31.7
353,沉睡魔咒,http://img.58921.com/sites/all/movie/files/protec/e080be8dd83448933836825cda02e7ad.png,4.83万,192.1万,51.5
354,降魔传,http://img.58921.com/sites/all/movie/files/protec/5681576aafbff634c662682ce5884170.png,8.73万,276.8万,35.4
355,精灵旅社2,http://img.58921.com/sites/all/movie/files/protec/11f397452fb6d939a83a19e867702921.png,9.75万,219.31万,44.6
356,阿尔法：狼伴归途,http://img.58921.com/sites/all/movie/files/protec/39877eed1cc08c0b0003d1b201080626.png,12.02万,272.25万,35.7
357,圆梦巨人,http://img.58921.com/sites/all/movie/files/protec/c2498820c5d17be1353e2dcefd497b76.png,15.18万,247.07万,39.4
358,复仇者联盟,http://img.58921.com/sites/all/movie/files/protec/19ca10a36e5115b2ee710f49f7d34664.png,3.68万,181.12万,53.5
359,天气之子,http://img.58921.com/sites/all/movie/files/protec/0b6b9a1640bce2e2ef165bc0b6141bd9.png,17.04万,279.13万,34.6
360,解忧杂货店,http://img.58921.com/sites/all/movie/files/protec/6f46f13191c1ec14c1401879b6e854f6.png,8.62万,289.25万,33.4
361,春娇救志明,http://img.58921.com/sites/all/movie/files/protec/ea86ba23baaa20ac07a389337ee48fb7.png,11.57万,258.2万,37.3
362,画皮II,http://img.58921.com/sites/all/movie/files/protec/80d3f88bf09d4bd5212230d8bde67528.png,4.07万,188.61万,51.1
363,夏有乔木 雅望天堂,http://img.58921.com/sites/all/movie/files/protec/784a4ecc7d7dfbdc9cc460e3c78127c5.png,10.16万,257.66万,37.3
364,疯狂原始人,http://img.58921.com/sites/all/movie/files/protec/be591c55f43a4c67ac9217a49362efe9.png,4.51万,181.18万,52.8
365,极限挑战,http://img.58921.com/sites/all/movie/files/protec/d233c03d264e9c93a42f29687d92f219.png,9.44万,252.04万,37.8
366,玩命速递：重启之战,http://img.58921.com/sites/all/movie/files/protec/6ab3d05f0281309da414aedf5e00ceab.png,8.54万,213.74万,44
367,谁的青春不迷茫,http://img.58921.com/sites/all/movie/files/protec/40eb35ec231dd4b615a8002c736787a0.png,12.15万,252.36万,37.2
368,危城,http://img.58921.com/sites/all/movie/files/protec/48ace800ea8bf836c297894aaae82fad.png,8.76万,216.34万,42.9
369,赛车总动员3：极速挑战,http://img.58921.com/sites/all/movie/files/protec/83cdcf3955a81baa48ab408ecadae4c6.png,10.57万,269.46万,34.3
370,猛虫过江,http://img.58921.com/sites/all/movie/files/protec/81fcf7fd0734a314e33c2d91924562b1.png,12.39万,284.84万,32.4
371,小飞象,http://img.58921.com/sites/all/movie/files/protec/18d0af295f265252d368191c2a695e82.png,12.2万,243.31万,37.9
372,地球最后的夜晚,http://img.58921.com/sites/all/movie/files/protec/4e3bb1ccf87d909d22f8f9b6b96848eb.png,5.2万,229.54万,40.1
373,分歧者3：忠诚世界,http://img.58921.com/sites/all/movie/files/protec/623504d91710f10526865e48db7b53e3.png,13.31万,246.54万,37.3
374,同桌的妳,http://img.58921.com/sites/all/movie/files/protec/364b08398163e76be2445a67991851c1.png,6.39万,214.36万,42.5
375,绝命海拔,http://img.58921.com/sites/all/movie/files/protec/6f7deeec6e2491c417fb01d853dc065f.png,8.13万,183.82万,49.4
376,爸爸去哪儿2,http://img.58921.com/sites/all/movie/files/protec/2c7e9dcfdb27509c1a16060ecdc4c74f.png,4.95万,229.32万,39.4
377,鲛珠传,http://img.58921.com/sites/all/movie/files/protec/30ef4eb7a7414b48ee0b559be1810f15.png,7.17万,242.39万,37.1
378,归来,http://img.58921.com/sites/all/movie/files/protec/b0954c29fbec9170d191309ea24abc8d.png,6.66万,202.81万,44.2
379,新大头儿子和小头爸爸3：俄罗斯奇遇记,http://img.58921.com/sites/all/movie/files/protec/19865ed8b19af736030caa6949507fc7.png,11.48万,251.73万,35.6
380,一条狗的使命2,http://img.58921.com/sites/all/movie/files/protec/b0c0c367a749f2a2531f608135d14383.png,23.16万,276.82万,32.1
381,爱乐之城,http://img.58921.com/sites/all/movie/files/protec/fced488a754f3bc94ffc59307aade1bf.png,12.68万,242.54万,36.6
382,云中行走,http://img.58921.com/sites/all/movie/files/protec/dd47c9fc8fcc91c312d92df8b74294de.png,8.81万,195.55万,45.1
383,憨豆特工3,http://img.58921.com/sites/all/movie/files/protec/8549f9d1d6d834031e251fef5a38fe0e.png,14.07万,279.72万,31.5
384,狂兽,http://img.58921.com/sites/all/movie/files/protec/61242497b603e666eccf9274da067640.png,7.32万,248.28万,35.5
385,罗小黑战记,http://img.58921.com/sites/all/movie/files/protec/712e23d0908c2592011515595530abce.png,19.1万,242.69万,36.3
386,警察故事2013,http://img.58921.com/sites/all/movie/files/protec/8327156dadc5c7fd4294dc58ab5ebd7c.png,4.33万,162.91万,53.8
387,澳门风云,http://img.58921.com/sites/all/movie/files/protec/7f1006679b492b1c1147cab8dd750b83.png,5.55万,208.61万,41.9
388,比得兔,http://img.58921.com/sites/all/movie/files/protec/c4f916f5f35f768ebb370507c9ef16d0.png,9.78万,278.58万,31.3
389,王朝的女人：杨贵妃,http://img.58921.com/sites/all/movie/files/protec/ab269b9059509cd1586f02fc25743fb8.png,7.83万,224.32万,38.8
390,沉睡魔咒2,http://img.58921.com/sites/all/movie/files/protec/bb3f054cb1acfa8e09e88203abc8cae6.png,15.07万,213.71万,40.5
391,大话西游之大圣娶亲,http://img.58921.com/sites/all/movie/files/protec/3a889c9c80910910e4db4439575ce54e.png,15.01万,293.64万,29.5
392,栀子花开2015,http://img.58921.com/sites/all/movie/files/protec/4dcb91c7d8d58d4594068c5d8c72b773.png,7.38万,226.03万,38.2
393,里约大冒险2,http://img.58921.com/sites/all/movie/files/protec/a69ec45d93e746b1d751c313612eef84.png,4.86万,164.14万,52.4
394,一吻定情,http://img.58921.com/sites/all/movie/files/protec/29df91eee20584aa3b516af6245b6fb5.png,8.87万,214.54万,39.9
